municipio,lat,lon
Cartagena,10.39972,-75.51444
Santa Rosa,10.26724,-75.36856
Turbaco,10.32919,-75.41039
Clemencia,10.55943,-75.32614
Santa Catalina,10.71899,-75.17497
Turbana,10.27384,-75.43647
Villanueva,10.44797,-75.26367
San Estanislao,10.39556,-75.15083
Arjona,10.25468,-75.34336
María La Baja,9.98399,-75.30491
Mahates,10.23042,-75.18899
San Juan Nepomuceno,9.95362,-75.07543
El Guamo,9.62683,-74.91647
San Jacinto,9.83292,-75.12128
El Carmen de Bolívar,9.71709,-75.12479
Zambrano,9.74653,-74.83987
Córdoba,8.84964,-74.82878
Magangué,9.24194,-74.75472
Cicuco,9.24139,-74.50556
Pinillos,8.91498,-74.52781
Altos del Rosario,8.79472,-74.16417
Barranco de Loba,8.94929,-74.10367
San Martín de Loba,8.95611,-74.04861
Hatillo de Loba,8.95861,-74.07056
Margarita,8.90708,-74.30115
San Fernando,9.04323,-74.49652
Mompos,9.24189,-74.42644
Talaigua Nuevo,9.25972,-74.37472
Montecristo,8.29899,-74.45482
Tiquisio,8.57625,-74.27001
Norosí,8.50222,-74.11611
Arenal,8.46172,-73.94122
Río Viejo,8.59408,-73.94616
Regidor,8.66933,-73.82225
El Peñón,8.98937,-73.93988
Simití,7.95670,-73.94880
Morales,8.27613,-73.86858
San Pablo,7.47527,-73.73645
Santa Rosa del Sur,7.96333,-74.05306
Cantagallo,7.38224,-73.91434
Achí,8.56789,-74.55736
San Jacinto del Cauca,8.43056,-74.65333
Arroyohondo,10.25498,-75.01943
Soplaviento,10.37725,-75.08381
San Cristóbal,10.44227,-75.04827
Calamar,10.25465,-74.91826
